Season,Name,Team,BABIP,PA,GB,LD,FB,IFFB,GB/FB,HR/FB,O-Swing (pfx),Z-Swing (pfx),Swing (pfx),O-Contact (pfx),Z-Contact (pfx),Contact (pfx),Zone (pfx),playerid
2011,Nick Swisher,Yankees,.295,635,38.9 ,21.8 ,39.4 ,7.5 ,0.99,14.3 ,17.5 ,61.4 ,39.2 ,58.3 ,85.8 ,79.6 ,49.4 ,4599
2004,Chipper Jones,Braves,.246,567,46.5 ,14.9 ,38.6 ,4.7 ,1.20,20.3 , , , , , , , ,97
2003,J.T. Snow,Giants,.305,396,37.5 ,20.6 ,41.9 ,8.6 ,0.90,6.9 , , , , , , , ,1133
2010,Kendrys Morales,Angels,.296,211,47.9 ,20.9 ,31.3 ,2.0 ,1.53,21.6 ,28.9 ,60.9 ,44.3 ,60.0 ,89.3 ,79.4 ,48.0 ,8610
2005,Rondell White,Tigers,.330,400,54.5 ,16.7 ,28.8 ,17.9 ,1.89,12.6 , , , , , , , ,856
2009,Gary Sheffield,Mets,.299,312,47.3 ,15.2 ,37.5 ,22.6 ,1.26,11.9 ,23.6 ,50.8 ,36.6 ,78.1 ,91.2 ,86.7 ,47.8 ,114
2005,Felipe Lopez,Reds,.322,648,53.2 ,20.0 ,26.8 ,2.4 ,1.98,18.3 , , , , , , , ,1311
2009,Scott Rolen,- - -,.327,535,36.6 ,22.6 ,40.9 ,7.6 ,0.90,6.4 ,24.6 ,64.9 ,45.4 ,75.7 ,92.8 ,88.3 ,51.5 ,970
2007,Mark Reynolds,Diamondbacks,.378,414,36.3 ,20.0 ,43.8 ,14.3 ,0.83,16.2 ,29.0 ,69.1 ,47.8 ,56.3 ,70.1 ,65.7 ,47.0 ,7619
2012,Eric Chavez,Yankees,.300,313,42.2 ,23.3 ,34.5 ,15.6 ,1.22,20.8 ,31.7 ,62.4 ,46.9 ,69.2 ,88.3 ,81.8 ,49.5 ,906
2012,Chipper Jones,Braves,.298,448,46.0 ,21.5 ,32.4 ,9.1 ,1.42,12.7 ,21.9 ,68.5 ,42.5 ,60.4 ,87.5 ,79.7 ,44.3 ,97
2004,Shannon Stewart,Twins,.319,430,41.7 ,22.6 ,35.7 ,3.3 ,1.17,9.2 , , , , , , , ,1322
2007,Damion Easley,Mets,.295,218,40.1 ,15.9 ,43.9 ,13.0 ,0.91,14.5 ,41.2 ,54.8 ,48.7 ,50.0 ,95.7 ,78.4 ,55.3 ,464
2012,Albert Pujols,Angels,.282,670,41.3 ,18.8 ,39.9 ,12.1 ,1.04,14.0 ,31.9 ,62.1 ,46.1 ,71.2 ,91.9 ,84.3 ,47.0 ,1177
2004,Marcus Giles,Braves,.357,434,43.1 ,22.4 ,34.5 ,4.6 ,1.25,7.4 , , , , , , , ,89
2005,Marcus Giles,Braves,.334,654,40.6 ,19.4 ,40.0 ,5.3 ,1.02,8.0 , , , , , , , ,89
2010,Daric Barton,Athletics,.316,686,39.3 ,21.5 ,39.3 ,10.1 ,1.00,5.6 ,13.5 ,52.5 ,34.3 ,78.7 ,90.7 ,88.5 ,53.4 ,5928
2011,Andrew McCutchen,Pirates,.291,678,38.4 ,20.0 ,41.7 ,6.4 ,0.92,12.2 ,19.6 ,61.1 ,40.9 ,56.9 ,87.0 ,80.0 ,51.4 ,9847
2008,Derrek Lee,Cubs,.330,698,44.9 ,21.5 ,33.7 ,2.9 ,1.33,11.7 ,22.5 ,64.2 ,42.6 ,61.6 ,86.7 ,79.9 ,48.3 ,525
2009,Yunel Escobar,Braves,.317,604,50.2 ,19.8 ,30.0 ,3.6 ,1.68,10.1 ,22.3 ,66.4 ,44.7 ,66.4 ,91.7 ,85.5 ,50.8 ,4191
2008,Mike Aviles,Royals,.357,441,46.4 ,20.2 ,33.4 ,13.2 ,1.39,8.3 ,35.5 ,66.0 ,51.1 ,73.0 ,90.9 ,84.8 ,51.2 ,5986
2006,Eric Hinske,- - -,.335,312,40.4 ,16.2 ,43.4 ,4.7 ,0.93,15.1 , , , , , , , ,1305
2007,Orlando Hudson,Diamondbacks,.333,601,51.7 ,20.2 ,28.0 ,2.5 ,1.84,8.2 ,21.5 ,64.6 ,42.8 ,73.6 ,92.1 ,87.4 ,49.3 ,1307
2009,Brian McCann,Braves,.297,551,38.2 ,20.8 ,40.9 ,8.4 ,0.93,12.6 ,30.8 ,63.9 ,46.8 ,70.8 ,88.7 ,82.6 ,48.5 ,4810
2009,Dustin Pedroia,Red Sox,.297,714,39.2 ,20.0 ,40.8 ,9.6 ,0.96,6.3 ,23.3 ,52.1 ,38.5 ,89.6 ,95.2 ,93.6 ,52.7 ,8370
2004,Victor Martinez,Indians,.286,591,40.3 ,16.4 ,43.3 ,9.6 ,0.93,11.6 , , , , , , , ,393
2009,Denard Span,Twins,.353,676,53.1 ,18.8 ,28.1 ,5.2 ,1.89,5.9 ,21.6 ,54.3 ,39.3 ,77.6 ,94.4 ,90.1 ,53.9 ,8347
2004,Michael Young,Rangers,.333,739,37.6 ,25.2 ,37.3 ,11.1 ,1.01,9.8 , , , , , , , ,1286
2003,Austin Kearns,Reds,.297,338,51.3 ,19.6 ,29.0 ,18.5 ,1.77,23.1 , , , , , , , ,332
2002,Quinton McCracken,Diamondbacks,.372,400,38.6 ,24.9 ,36.5 ,7.9 ,1.06,3.0 , , , , , , , ,1377
2003,Josh Phelps,Blue Jays,.328,453,43.3 ,25.2 ,31.6 ,3.4 ,1.37,22.5 , , , , , , , ,1318
2008,Raul Ibanez,Mariners,.321,707,40.6 ,19.1 ,40.4 ,14.0 ,1.00,10.7 ,29.1 ,64.2 ,45.8 ,76.3 ,86.5 ,83.1 ,47.5 ,607
2009,Miguel Montero,Diamondbacks,.327,470,43.9 ,19.7 ,36.4 ,8.7 ,1.21,12.7 ,33.9 ,68.4 ,50.3 ,73.1 ,88.5 ,83.0 ,47.4 ,3364
2008,Matt Joyce,Tigers,.293,277,35.2 ,17.3 ,47.5 ,10.6 ,0.74,14.1 ,26.2 ,70.6 ,48.3 ,55.0 ,77.3 ,71.2 ,49.8 ,3353
2009,Angel Pagan,Mets,.349,376,40.9 ,20.6 ,38.5 ,7.3 ,1.06,5.5 ,24.6 ,55.3 ,40.2 ,83.3 ,93.1 ,90.2 ,50.9 ,2918
2010,Rafael Furcal,Dodgers,.338,428,46.8 ,20.3 ,32.9 ,9.6 ,1.42,7.7 ,23.0 ,59.4 ,41.5 ,76.7 ,93.1 ,88.7 ,51.0 ,88
2012,Nick Markakis,Orioles,.310,471,41.8 ,26.8 ,31.4 ,8.5 ,1.33,11.1 ,25.3 ,57.3 ,40.9 ,86.0 ,93.3 ,91.0 ,48.5 ,5930
2003,Aaron Guiel,Royals,.295,401,39.5 ,23.6 ,36.8 ,7.3 ,1.07,13.8 , , , , , , , ,1503
2005,Grady Sizemore,Indians,.334,706,44.5 ,24.5 ,31.0 ,5.7 ,1.43,14.0 , , , , , , , ,2197
2002,David Ortiz,Twins,.294,466,32.4 ,23.1 ,44.4 ,11.5 ,0.73,13.5 , , , , , , , ,745
2009,Adam LaRoche,- - -,.328,629,35.0 ,21.6 ,43.4 ,7.2 ,0.81,13.8 ,24.3 ,61.9 ,42.3 ,58.0 ,83.8 ,76.1 ,48.0 ,1904
2008,Jose Reyes,Mets,.317,763,43.9 ,23.4 ,32.7 ,10.8 ,1.35,8.2 ,28.7 ,54.1 ,41.1 ,77.3 ,92.2 ,86.8 ,48.8 ,1736
2010,Kosuke Fukudome,Cubs,.287,429,49.5 ,15.6 ,34.9 ,7.8 ,1.42,12.6 ,18.3 ,60.1 ,38.8 ,55.2 ,89.1 ,81.0 ,49.0 ,3263
2004,Mark Bellhorn,Red Sox,.364,620,42.4 ,19.8 ,37.8 ,11.4 ,1.12,12.9 , , , , , , , ,264
2005,Craig Wilson,Pirates,.379,238,43.4 ,24.8 ,31.8 ,9.8 ,1.37,12.2 , , , , , , , ,1015
2009,Felipe Lopez,- - -,.358,680,51.8 ,22.3 ,25.9 ,3.1 ,2.00,6.9 ,24.0 ,57.4 ,41.5 ,67.4 ,93.0 ,85.9 ,52.3 ,1311
2006,Matt Diaz,Braves,.367,323,49.8 ,23.5 ,26.7 ,6.0 ,1.87,10.4 , , , , , , , ,1771
2010,Travis Hafner,Indians,.332,462,42.6 ,19.3 ,38.0 ,6.0 ,1.12,11.2 ,23.5 ,58.5 ,41.0 ,59.0 ,82.1 ,75.5 ,50.0 ,1573
2005,Kenny Lofton,Phillies,.373,406,49.1 ,26.4 ,24.5 ,5.1 ,2.00,2.6 , , , , , , , ,246
2012,Shin-Soo Choo,Indians,.353,686,49.7 ,23.3 ,27.1 ,2.5 ,1.83,13.2 ,21.6 ,62.2 ,42.3 ,55.2 ,83.1 ,76.1 ,50.9 ,3174
2007,Paul Konerko,White Sox,.263,636,38.0 ,17.4 ,44.6 ,9.9 ,0.85,15.3 ,24.5 ,57.3 ,41.1 ,74.1 ,86.8 ,83.1 ,50.6 ,242
2006,Mike Cameron,Padres,.321,634,37.6 ,17.3 ,45.1 ,8.6 ,0.83,11.9 , , , , , , , ,1070
2010,Andrew McCutchen,Pirates,.311,653,43.4 ,18.8 ,37.8 ,10.4 ,1.15,8.7 ,17.7 ,56.1 ,38.0 ,61.9 ,90.7 ,84.4 ,53.0 ,9847
2003,Matthew LeCroy,Twins,.333,374,39.5 ,23.6 ,36.9 ,15.5 ,1.07,17.5 , , , , , , , ,1456
2011,Ben Zobrist,Rays,.310,674,45.4 ,19.6 ,35.0 ,10.6 ,1.30,12.4 ,24.1 ,56.8 ,40.2 ,69.5 ,88.2 ,82.5 ,49.3 ,7435
2005,Todd Walker,Cubs,.314,433,38.9 ,22.1 ,38.9 ,7.2 ,1.00,8.6 , , , , , , , ,359
2007,Bobby Abreu,Yankees,.322,699,45.5 ,20.0 ,34.4 ,2.4 ,1.32,9.4 ,19.0 ,54.8 ,37.2 ,51.3 ,90.3 ,80.5 ,50.8 ,945
2004,Johnny Estrada,Braves,.348,517,42.8 ,22.3 ,35.0 ,10.0 ,1.22,6.4 , , , , , , , ,955
2006,Ryan Garko,Indians,.326,209,42.4 ,16.6 ,41.1 ,8.1 ,1.03,11.3 , , , , , , , ,6319
2006,Hanley Ramirez,Marlins,.343,700,43.8 ,20.9 ,35.3 ,12.5 ,1.24,9.7 , , , , , , , ,8001
2006,Jose Reyes,Mets,.320,703,45.2 ,20.9 ,33.9 ,11.8 ,1.33,10.2 , , , , , , , ,1736
2010,Andres Torres,Giants,.331,570,38.8 ,21.8 ,39.4 ,10.3 ,0.99,11.0 ,27.6 ,61.8 ,44.3 ,57.2 ,85.8 ,76.6 ,48.7 ,1488
2009,Martin Prado,Braves,.331,503,43.7 ,19.8 ,36.5 ,9.0 ,1.19,7.6 ,25.1 ,54.5 ,40.6 ,77.1 ,95.1 ,89.9 ,52.9 ,3312
2008,Vernon Wells,Blue Jays,.293,466,46.9 ,17.3 ,35.8 ,15.1 ,1.31,14.4 ,28.8 ,64.1 ,46.6 ,67.0 ,92.0 ,84.4 ,50.3 ,1326
2006,Austin Kearns,- - -,.308,629,42.1 ,19.2 ,38.7 ,4.5 ,1.09,15.3 , , , , , , , ,332
2012,Corey Hart,Brewers,.318,622,40.1 ,19.3 ,40.6 ,4.8 ,0.99,18.1 ,28.3 ,62.4 ,44.0 ,50.4 ,83.1 ,71.8 ,46.2 ,1945
2004,Mark Kotsay,Athletics,.333,673,37.9 ,21.3 ,40.8 ,7.4 ,0.93,6.9 , , , , , , , ,1042
2004,Sammy Sosa,Cubs,.275,539,42.2 ,20.1 ,37.6 ,12.2 ,1.12,26.7 , , , , , , , ,302
2006,Mike Piazza,Padres,.290,439,40.0 ,21.5 ,38.5 ,8.5 ,1.04,17.1 , , , , , , , ,893
2005,Bill Hall,Brewers,.336,546,41.3 ,24.2 ,34.5 ,6.6 ,1.20,12.4 , , , , , , , ,1605
2008,Carlos Guillen,Tigers,.317,489,44.9 ,20.2 ,34.8 ,12.9 ,1.29,8.1 ,24.3 ,65.8 ,44.3 ,74.0 ,91.8 ,86.8 ,48.2 ,1079
2008,Orlando Hudson,Diamondbacks,.341,455,48.4 ,22.9 ,28.7 ,5.1 ,1.69,8.1 ,23.4 ,64.9 ,43.7 ,72.1 ,87.7 ,83.5 ,48.9 ,1307
2004,Mike Sweeney,Royals,.277,452,36.9 ,15.4 ,47.7 ,12.5 ,0.77,12.5 , , , , , , , ,634
2008,Adam LaRoche,Pirates,.308,554,37.0 ,20.5 ,42.6 ,5.0 ,0.87,15.6 ,26.8 ,63.1 ,43.5 ,67.3 ,87.3 ,80.7 ,45.9 ,1904
2008,David DeJesus,Royals,.335,577,46.2 ,24.7 ,29.1 ,6.9 ,1.59,9.2 ,24.4 ,56.5 ,40.7 ,81.3 ,94.4 ,90.5 ,50.6 ,1825
2006,Frank Catalanotto,Blue Jays,.312,499,47.6 ,18.6 ,33.7 ,8.8 ,1.41,5.1 , , , , , , , ,1241
2009,Carl Crawford,Rays,.342,672,52.1 ,19.3 ,28.7 ,8.2 ,1.82,10.3 ,33.2 ,63.9 ,48.8 ,73.7 ,89.2 ,84.0 ,50.7 ,1201
2006,Edwin Encarnacion,Reds,.307,467,41.4 ,21.1 ,37.5 ,13.7 ,1.10,12.1 , , , , , , , ,2151
2010,Hideki Matsui,Angels,.302,558,39.4 ,18.8 ,41.8 ,3.1 ,0.94,13.0 ,18.5 ,59.5 ,39.3 ,68.8 ,89.0 ,84.3 ,50.8 ,1659
2006,Milton Bradley,Athletics,.304,405,51.6 ,15.4 ,33.0 ,7.4 ,1.56,14.9 , , , , , , , ,369
2010,Carlos Quentin,White Sox,.241,527,36.6 ,13.9 ,49.5 ,14.1 ,0.74,14.1 ,29.7 ,70.3 ,49.6 ,61.5 ,84.2 ,77.3 ,49.1 ,6274
2002,Shannon Stewart,Blue Jays,.325,641,45.8 ,23.9 ,30.3 ,12.7 ,1.51,6.4 , , , , , , , ,1322
2002,Robin Ventura,Yankees,.257,562,38.0 ,18.2 ,43.8 ,9.9 ,0.87,16.8 , , , , , , , ,854
2005,Frank Catalanotto,Blue Jays,.325,475,43.1 ,22.4 ,34.5 ,8.6 ,1.25,6.3 , , , , , , , ,1241
2006,Wily Mo Pena,Red Sox,.400,304,39.8 ,20.9 ,39.3 ,16.0 ,1.01,14.7 , , , , , , , ,344
2002,Scott Hatteberg,Athletics,.291,568,44.4 ,20.1 ,35.5 ,8.4 ,1.25,9.7 , , , , , , , ,916
2004,Magglio Ordonez,White Sox,.291,222,48.6 ,15.5 ,35.9 ,21.5 ,1.35,13.8 , , , , , , , ,248
2003,Jason Phillips,Mets,.318,453,40.4 ,24.3 ,35.3 ,5.6 ,1.14,8.8 , , , , , , , ,892
2012,Alex Gordon,Royals,.356,721,42.3 ,25.0 ,32.7 ,9.1 ,1.29,8.5 ,27.8 ,61.0 ,44.1 ,66.5 ,86.5 ,80.1 ,49.1 ,5209
2007,Raul Ibanez,Mariners,.316,636,42.4 ,17.6 ,40.0 ,9.3 ,1.06,10.9 ,27.3 ,62.0 ,44.3 ,72.9 ,88.2 ,83.3 ,48.8 ,607
2009,Casey Blake,Dodgers,.327,565,41.8 ,23.0 ,35.2 ,5.3 ,1.19,13.5 ,22.7 ,53.6 ,38.8 ,68.2 ,87.4 ,82.0 ,51.9 ,719
2010,Jorge Posada,Yankees,.287,451,43.0 ,18.5 ,38.5 ,4.5 ,1.12,16.4 ,20.1 ,59.1 ,39.4 ,57.9 ,85.6 ,78.5 ,49.5 ,841
2009,Aaron Hill,Blue Jays,.288,734,39.5 ,19.6 ,41.0 ,11.6 ,0.96,14.9 ,29.7 ,70.1 ,50.9 ,63.3 ,92.3 ,84.2 ,52.3 ,6104
2006,Kevin Youkilis,Red Sox,.327,680,30.6 ,24.5 ,45.0 ,6.8 ,0.68,6.3 , , , , , , , ,1935
2010,Torii Hunter,Angels,.307,646,48.1 ,18.3 ,33.6 ,8.2 ,1.43,14.6 ,26.5 ,64.4 ,45.1 ,57.7 ,88.1 ,79.0 ,49.0 ,731
2009,Chone Figgins,Angels,.356,729,40.6 ,23.9 ,35.5 ,6.9 ,1.14,2.9 ,18.6 ,52.2 ,36.3 ,75.8 ,91.9 ,88.0 ,53.0 ,1580
2006,Robb Quinlan,Angels,.333,244,52.7 ,16.9 ,30.4 ,11.1 ,1.73,14.3 , , , , , , , ,1779
2007,Aaron Boone,Marlins,.333,228,26.5 ,25.8 ,47.7 ,13.9 ,0.56,6.9 ,31.6 ,66.0 ,47.1 ,72.2 ,90.3 ,83.7 ,45.2 ,311
2012,Will Middlebrooks,Red Sox,.335,286,43.5 ,21.5 ,35.0 ,7.1 ,1.24,21.4 ,27.1 ,63.0 ,44.0 ,57.2 ,85.1 ,76.0 ,47.1 ,7002
2006,Mike Napoli,Angels,.276,325,33.7 ,14.0 ,52.2 ,20.4 ,0.65,17.2 , , , , , , , ,3057
2011,Rickie Weeks,Brewers,.310,515,48.1 ,16.6 ,35.2 ,12.2 ,1.37,16.3 ,22.7 ,61.8 ,42.7 ,50.9 ,82.3 ,74.1 ,51.1 ,1849
2005,Matt Stairs,Royals,.301,466,38.3 ,20.5 ,41.3 ,13.9 ,0.93,9.5 , , , , , , , ,1384
2005,Melvin Mora,Orioles,.309,664,36.1 ,19.0 ,44.9 ,13.8 ,0.80,12.9 , , , , , , , ,157
2007,Rickie Weeks,Brewers,.287,506,41.6 ,17.1 ,41.3 ,17.4 ,1.01,13.2 ,16.6 ,53.3 ,34.3 ,57.8 ,85.9 ,78.9 ,48.1 ,1849
2005,Shawn Green,Diamondbacks,.305,656,51.4 ,17.8 ,30.8 ,11.8 ,1.67,14.5 , , , , , , , ,651
2012,Wilin Rosario,Rockies,.289,426,46.2 ,17.3 ,36.5 ,10.9 ,1.26,25.5 ,34.1 ,66.5 ,49.5 ,59.9 ,77.4 ,71.1 ,47.7 ,8002
2009,Carlos Lee,Astros,.290,662,36.2 ,20.1 ,43.7 ,11.3 ,0.83,10.5 ,28.8 ,63.3 ,46.0 ,76.5 ,93.3 ,88.1 ,49.9 ,243
2003,Mark Loretta,Padres,.332,653,36.2 ,30.7 ,33.1 ,8.7 ,1.09,7.5 , , , , , , , ,1383
2004,Derek Jeter,Yankees,.315,721,48.0 ,19.3 ,32.7 ,2.8 ,1.47,13.1 , , , , , , , ,826
2002,Corey Koskie,Twins,.329,576,40.5 ,24.7 ,34.8 ,10.9 ,1.16,11.7 , , , , , , , ,738
2004,Wily Mo Pena,Reds,.302,364,50.4 ,16.2 ,33.3 ,13.2 ,1.51,34.2 , , , , , , , ,344
2002,Matt Stairs,Brewers,.244,315,42.5 ,14.9 ,42.5 ,8.5 ,1.00,17.0 , , , , , , , ,1384
2012,Torii Hunter,Angels,.389,584,52.0 ,22.6 ,25.4 ,5.0 ,2.05,16.0 ,33.8 ,67.9 ,50.3 ,57.2 ,83.7 ,74.5 ,48.4 ,731
2002,Randy Winn,Devil Rays,.342,674,46.1 ,22.2 ,31.6 ,11.0 ,1.46,9.0 , , , , , , , ,1235
2011,Nick Hundley,Padres,.362,308,41.3 ,21.2 ,37.5 ,7.7 ,1.10,11.5 ,27.6 ,64.8 ,47.4 ,51.3 ,90.1 ,79.5 ,53.2 ,3376
2008,Melvin Mora,Orioles,.289,570,41.7 ,21.1 ,37.2 ,14.0 ,1.12,14.0 ,29.4 ,61.4 ,45.5 ,71.7 ,90.5 ,84.5 ,50.4 ,157
2006,Jeff DaVanon,Diamondbacks,.331,256,51.1 ,20.2 ,28.7 ,5.9 ,1.78,9.8 , , , , , , , ,1440
2009,Magglio Ordonez,Tigers,.344,518,51.0 ,20.9 ,28.1 ,7.1 ,1.81,8.0 ,22.3 ,69.9 ,46.7 ,71.6 ,90.9 ,86.4 ,51.3 ,248
2006,Richie Sexson,Mariners,.300,663,42.2 ,17.9 ,39.9 ,10.8 ,1.06,19.3 , , , , , , , ,709
2009,Travis Hafner,Indians,.297,383,39.0 ,21.0 ,40.1 ,12.8 ,0.97,14.7 ,25.7 ,60.3 ,42.7 ,61.2 ,87.8 ,79.6 ,49.0 ,1573
2010,Ryan Raburn,Tigers,.333,410,38.6 ,17.5 ,43.9 ,8.9 ,0.88,12.2 ,30.5 ,68.7 ,49.4 ,57.6 ,86.5 ,77.5 ,49.6 ,2218
2011,Jhonny Peralta,Tigers,.325,576,35.8 ,20.0 ,44.2 ,11.3 ,0.81,10.8 ,26.7 ,68.0 ,47.4 ,60.6 ,88.4 ,80.6 ,50.1 ,1738
2011,Carlos Pena,Cubs,.267,606,37.3 ,15.5 ,47.3 ,9.6 ,0.79,17.9 ,23.3 ,69.4 ,43.9 ,45.3 ,80.1 ,69.8 ,44.6 ,934
2010,Giancarlo Stanton,Marlins,.330,396,43.0 ,16.5 ,40.5 ,19.8 ,1.06,22.9 ,29.4 ,59.6 ,43.5 ,49.2 ,81.8 ,70.1 ,46.9 ,4949
2006,Kevin Millar,Orioles,.297,503,35.5 ,22.1 ,42.5 ,10.5 ,0.84,9.9 , , , , , , , ,529
2007,Brian Roberts,Orioles,.327,716,35.8 ,19.5 ,44.6 ,5.2 ,0.80,5.2 ,20.1 ,57.1 ,39.3 ,82.9 ,94.4 ,91.5 ,51.7 ,166
2003,Shannon Stewart,- - -,.323,644,43.4 ,24.5 ,32.0 ,6.6 ,1.36,7.8 , , , , , , , ,1322
2009,Luke Scott,Orioles,.283,506,39.6 ,17.1 ,43.4 ,13.3 ,0.91,16.7 ,26.0 ,66.4 ,44.9 ,55.9 ,85.3 ,76.3 ,46.8 ,3469
2010,Chipper Jones,Braves,.281,381,38.1 ,18.3 ,43.6 ,3.4 ,0.87,8.4 ,21.0 ,66.5 ,41.9 ,70.7 ,84.8 ,81.0 ,45.9 ,97
2009,Hunter Pence,Astros,.308,647,52.8 ,14.6 ,32.6 ,10.9 ,1.62,16.0 ,30.1 ,67.1 ,47.7 ,65.7 ,82.1 ,76.7 ,47.6 ,8252
2005,Ryan Church,Nationals,.354,301,46.4 ,24.0 ,29.6 ,12.1 ,1.57,15.5 , , , , , , , ,2106
2007,Mike Lamb,Astros,.307,353,43.3 ,17.9 ,38.8 ,6.7 ,1.12,10.6 ,30.1 ,64.2 ,45.2 ,80.7 ,91.3 ,87.3 ,44.3 ,1258
2003,Frank Catalanotto,Blue Jays,.319,535,42.1 ,24.4 ,33.5 ,9.7 ,1.26,9.0 , , , , , , , ,1241
2006,Casey Blake,Indians,.320,456,40.2 ,23.2 ,36.7 ,8.8 ,1.10,16.7 , , , , , , , ,719
2008,J.J. Hardy,Brewers,.305,629,48.4 ,15.5 ,36.1 ,14.1 ,1.34,14.1 ,25.1 ,55.3 ,40.8 ,68.5 ,89.4 ,83.3 ,52.0 ,3797
2005,Luis Gonzalez,Diamondbacks,.284,672,38.2 ,20.1 ,41.7 ,11.7 ,0.92,11.7 , , , , , , , ,55
2004,Juan Rivera,Expos,.323,426,49.1 ,20.5 ,30.3 ,13.3 ,1.62,11.4 , , , , , , , ,843
2011,Reed Johnson,Cubs,.394,266,43.4 ,21.4 ,35.2 ,15.6 ,1.23,7.8 ,41.8 ,55.6 ,48.9 ,60.1 ,94.7 ,80.5 ,51.9 ,1702
2010,Ian Kinsler,Rangers,.313,460,40.1 ,18.4 ,41.6 ,10.1 ,0.96,6.5 ,21.9 ,60.6 ,41.3 ,69.1 ,95.1 ,88.2 ,50.0 ,6195
2011,Ryan Howard,Phillies,.303,644,40.3 ,20.8 ,39.0 ,2.6 ,1.03,21.7 ,29.2 ,67.7 ,45.6 ,47.8 ,79.6 ,67.9 ,42.5 ,2154
2005,Jeff Cirillo,Brewers,.302,219,49.4 ,16.3 ,34.4 ,14.5 ,1.44,7.3 , , , , , , , ,1073
2003,Larry Bigbie,Orioles,.355,319,56.8 ,22.0 ,21.1 ,0.0 ,2.69,18.8 , , , , , , , ,128
2008,Stephen Drew,Diamondbacks,.322,663,34.8 ,22.6 ,42.5 ,6.9 ,0.82,9.7 ,27.3 ,63.5 ,45.6 ,67.3 ,90.5 ,83.6 ,50.6 ,4251
2004,Julio Franco,Braves,.373,361,54.3 ,23.6 ,22.0 ,3.6 ,2.46,10.7 , , , , , , , ,87
2010,Stephen Drew,Diamondbacks,.321,633,40.2 ,19.0 ,40.8 ,8.6 ,0.98,8.0 ,24.5 ,60.7 ,42.2 ,63.9 ,90.4 ,82.6 ,48.9 ,4251
2009,Dan Uggla,Marlins,.274,668,36.6 ,17.0 ,46.4 ,9.8 ,0.79,16.0 ,21.7 ,58.4 ,39.9 ,58.0 ,82.6 ,75.8 ,49.6 ,3442
2008,Greg Norton,- - -,.309,220,45.5 ,24.5 ,30.1 ,7.0 ,1.51,16.3 ,23.0 ,64.4 ,41.8 ,62.2 ,84.6 ,77.9 ,45.6 ,1388
2003,Corey Patterson,Cubs,.353,347,41.0 ,24.9 ,34.1 ,17.6 ,1.20,15.3 , , , , , , , ,300
2004,Jason Kendall,Pirates,.337,658,50.3 ,20.7 ,29.1 ,4.5 ,1.73,1.9 , , , , , , , ,993
2011,Seth Smith,Rockies,.320,533,38.0 ,21.6 ,40.4 ,11.5 ,0.94,9.6 ,29.6 ,67.6 ,47.8 ,62.8 ,85.0 ,77.8 ,47.8 ,7331
2006,Mike Lamb,Astros,.329,422,40.5 ,20.2 ,39.3 ,9.2 ,1.03,9.2 , , , , , , , ,1258
2004,David Bell,Phillies,.308,603,40.0 ,23.4 ,36.6 ,16.0 ,1.09,10.7 , , , , , , , ,1108
2002,Frank Catalanotto,Rangers,.293,250,47.3 ,23.7 ,29.0 ,5.6 ,1.63,5.6 , , , , , , , ,1241
2003,Rondell White,- - -,.304,534,44.2 ,20.8 ,35.0 ,15.2 ,1.26,15.2 , , , , , , , ,856
2012,Matt Carpenter,Cardinals,.346,340,40.2 ,23.8 ,36.0 ,3.5 ,1.12,7.0 ,22.3 ,59.5 ,40.8 ,66.7 ,88.9 ,82.8 ,49.9 ,8090
2011,Desmond Jennings,Rays,.303,287,47.3 ,17.6 ,35.2 ,9.4 ,1.34,15.6 ,22.3 ,52.1 ,36.9 ,60.9 ,85.5 ,77.9 ,48.8 ,1965
2007,Ryan Ludwick,Cardinals,.309,339,36.8 ,16.5 ,46.8 ,15.7 ,0.79,13.0 ,28.9 ,69.8 ,48.4 ,61.5 ,83.8 ,76.9 ,47.7 ,1260
2008,Jim Edmonds,- - -,.249,401,36.9 ,18.1 ,45.0 ,3.4 ,0.82,17.1 ,21.8 ,60.1 ,40.9 ,68.2 ,81.8 ,78.1 ,49.7 ,1153
2007,Carl Crawford,Devil Rays,.374,627,47.8 ,20.1 ,32.1 ,4.6 ,1.49,7.2 ,41.6 ,71.1 ,55.4 ,64.8 ,81.8 ,75.0 ,46.7 ,1201
2005,Mike Cameron,Mets,.340,343,41.6 ,20.8 ,37.6 ,6.0 ,1.11,14.5 , , , , , , , ,1070
2007,Jose Guillen,Mariners,.326,659,48.3 ,16.0 ,35.6 ,8.2 ,1.36,13.5 ,29.6 ,65.2 ,47.1 ,63.5 ,84.5 ,77.8 ,49.2 ,57
2012,Carlos Beltran,Cardinals,.291,619,41.8 ,20.4 ,37.8 ,13.7 ,1.11,19.9 ,28.2 ,66.8 ,45.7 ,57.4 ,90.6 ,79.4 ,45.2 ,589
2006,Carl Crawford,Devil Rays,.331,653,52.2 ,18.3 ,29.5 ,9.3 ,1.77,12.0 , , , , , , , ,1201
2010,Neil Walker,Pirates,.340,469,36.4 ,22.4 ,41.1 ,4.3 ,0.89,8.5 ,27.8 ,61.8 ,44.4 ,68.5 ,89.8 ,83.0 ,48.9 ,7539
2002,Ron Gant,Padres,.266,353,33.5 ,21.7 ,44.9 ,21.1 ,0.75,15.8 , , , , , , , ,1032
